chainname,chainid
Essex Property Trust,556a4935a7c8957d73d676bd
Ethan Allen,556e5b35bd6a82902e295228
European Wax Center,556c9a41a7c87f637869ba02
EXPRESS,556d0900aceaff43eb07f9d5
Express Employment Professionals,556cfe41aceaff43eb06e341
Express Oil Change,556a2b6ca7c8957d73d3bc18
Extra Space Storage,556e092ea7c82e6b724ee2fb
Exxon,556f676fbd6a75a99038d8e2
Eyeglass World,556f4530bd6a007c7738e4de
Eyemart Express,556a384aa7c8957d73d54f03
Fairfield Inn,556f3e21bd6a007c773809e0
Family Christian,556c9f5ca7c87f63786a0b09
Family Dollar,556f5631bd6a75a99036aba2
Family Video,556d0ef4aceaff43eb087d9b
Famous Dave's Bar-B-Que,556a4d8aa7c8957d73d6bf6d
Famous Footwear,556de729a7c82f0fe9875f3f
Fantastic Sams,556df7e1a7c82e6b724d822c
Farmers Insurance,5569fc46a7c8896abe7d80ab
FASTSIGNS Corporate,556d009faceaff43eb073aab
Fatburger,556e5b40bd6a82902e295431
Fazoli's,556c8fa2a7c8a11a36bd09aa
FDNY,556c9c7ca7c87f637869f5bd
FedEx,556e23e9a7c82e6b7252cea7
Ferguson,556d1b42aceaff43eb0a52f2
Ferrellgas,556cfb16aceaff43eb06677e
FHEG Integrated Marketing,556d110aaceaff43eb08f06f
Fidelity Bank,556a29e0a7c8957d73d38b9f
Finish Line,556d0900aceaff43eb07f9dc
Firehouse Subs,556d0ef4aceaff43eb087d9c
Firestone Complete Auto Care,556a32c4a7c8957d73d4a2e6
First Citizens Bank,556e5fa8bd6a82902e29ddd2
First Community Bank,5568f157a7c8a9cf8ec42e0a
First Niagara Bank,5643a5ee498e5a40b9b1567a
First Watch,556a35fda7c8957d73d50585
Fitness Together,556a4bb0a7c8957d73d68bbe
Five Below,556c8b0ca7c8a11a36bc8624
Five Guys,556df7e1a7c82e6b724d8230
Flash Foods,556a470ba7c8957d73d63fc6
Food 4 Less,556a3a90a7c8957d73d563db
Food City Tailgater,556a3a90a7c8957d73d563d7
Food Lion Grocery Store,556deb32a7c82f0fe9880794
Foot Locker,556de8c8a7c82f0fe987b2d2
For Eyes Optical,556a321ca7c8957d73d49054
Ford,556a337ba7c8957d73d4b6a8
Forever 21,556cea95aceaff43eb05d1e7
Fossil,57354752498ee9081545f927
Four Seasons Hotels and Resorts,556ce9b1aceaff43eb05acb7
Franciscan St. Francis Health,556a410ca7c8957d73d5d853
Fred Meyer,556a34b9a7c8957d73d4de0e
Fred Meyer Jewelers,556ce010aceaff43eb044906
Fred's Super Dollar,556d110aaceaff43eb08f06d
Free People,556f4423bd6a007c7738b950
FreeSTDClinics.org,556de8c8a7c82f0fe987b2cc
Fresh & Easy Neighborhood Market,556a33d1a7c8957d73d4c132
Frost Bank,58f6344a8c35dc1a2ce49905
Frys,556a3122a7c8957d73d46ba8
FrysFoodStores,556a35b9a7c8957d73d4fb15
Fuddruckers,556a4bb0a7c8957d73d68bbf
G.H. Bass & Co.,556a4310a7c8957d73d604b2
GameStop,556e3827bd6a82902e253a78
Gander Mountain,556a47dba7c8957d73d64d04
Gap,556d1457aceaff43eb094f73
Gap Kids,563bba52498e5c2569a8a79f
Gap Outlet,563bb9f1498efdd6f2562c54
GEICO,556a462fa7c8957d73d62509
Genghis Grill,556f4590bd6a007c7738f349
Gentle Dental,556a2f2ea7c8957d73d436e7
Gentle Dental Of New England,5569eecda7c8896abe7bd353
Gerber Collision & Glass,556ca508a7c87f63786abbdb
Getaround,556ce673aceaff43eb0548ff
GetGo,5568f47fa7c8a9cf8ec49167
GGP,556a341fa7c8957d73d4cad2
Giant Eagle,556c8f10a7c8a11a36bcf8b0
Glass Doctor,556ca0b7a7c87f63786a3551
GMC,57be14ed498e960535a49b5d
GNC,556e3827bd6a82902e253a7e
Goddard School,556ce747aceaff43eb056895
Godfather's Pizza,5568f5b6a7c8a9cf8ec4c0a2
GODIVA,556c96cda7c8a11a36bde314
Gold's Gym,556a3edda7c8957d73d5b3ad
Golden Chick,556a3e1ca7c8957d73d59c6d
Golden Corral,556ce9b1aceaff43eb05acc5
Golden Krust Bakery,556a2fdca7c8957d73d447cb
Golf Galaxy,556a2a78a7c8957d73d39dbf
